t=2026-01-07T08:47:25+0700 lvl=info msg="no configuration paths supplied"
t=2026-01-07T08:47:25+0700 lvl=info msg="using configuration at default config path" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T08:47:25+0700 lvl=info msg="open config file" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=a7b907a97372 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=92b7102469ce l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=263c50bef359 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=30953b7b969c l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=7c2507737787 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=99de58ddb5cd l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=3c5f321580e6 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=e6a7c4ad5718 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=32ee2462ab03 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=cb12a4389834 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:14+0700 lvl=info msg="join connections" obj=join id=026889823293 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:15+0700 lvl=info msg="join connections" obj=join id=8941b2500b50 l=[::1]:3000 r=203.83.40.12:53440
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=ebc6495d43c6 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=414d994e2de2 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=4eca99b7458e l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=8989249c9cb0 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=0f2c401d1f65 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=b580dc2a95b9 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=16ec4667058e l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=953453894095 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=a814de67a76d l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=a20c8151d7d1 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=77c707d5b468 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=2b5e0a1d59b3 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=61789390c8c2 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=9239036a4fe3 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=d8816109174d l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=f26180e0c348 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=1ea42dcb9b96 l=[::1]:3000 r=203.83.40.12:52939
t=2026-01-07T08:48:16+0700 lvl=info msg="join connections" obj=join id=3b6ee9f55d5f l=[::1]:3000 r=203.83.40.12:54635
t=2026-01-07T08:50:56+0700 lvl=info msg="join connections" obj=join id=5e7480858e37 l=[::1]:3000 r=203.83.40.12:35989
